SENTIMENT,TWEET
-1,Signal indihome gembel bgt ya. Udh byr mahal kualitas pret @IndiHomeCare coba daerah sirkuit sentul diperbaiki down mulu hobinya
-1,Ini @IndiHomeCare @IndiHome lagi ada masalah kah? Internet saya tiba2 down dan susah untuk mengakses internet. Mau coba untuk menghubungi tapi susah sekali
-1,Ini wifi @IndiHomeCare di rumah sama dikantor kok gabisa semua lagi error Tah? #indihomedown
-1,Ini indihome daerah jaksel lagi down kah? @IndiHomeCare
-1,@FulvusI @IndiHome @IndiHomeCare min ini daerah jaktim sama bekasi down loh internetnya buruan diatasin dong
-1,@IndiHome min maaf untuk indohome daerah jaktim sama bekasi lagi down yaa min?
-1,Ini Indihome lgi down kh
-1,tapi kan kasian yak si idol ga ngapa ngapain tapi ikutan jelek grgr fansnya bau
-1,@emyoooga @vvotanet Dr dulu emang masalahnya baju yg fitnya jelek rata2. Mungkin mrk mikir biar bisa dipake gantian semua member.
-1,@IDGoonerscom Odegaard tahun ini pasti jelek karena cedera Semoga saka step up
-1,@nutjoonie Jelek ih malah ikutan kayak x
-1,ini kalo efeknya jelek aku ga top up 
-1,pgnny ceria sik tp ni kehidupan jelek amat
-1,laporan review perusahaan tapi isinya idol perusahaan lain tuh buat apa anyiiiing mana isinya jelek jelekin doang?
-1,@Telkomsel ini paling mahal tapi jaringan Paling Jelek Masa di Kedoya Elok sinyal E Udha gitu sering ilang2 kalo dibawa di KRL Najes
-1,@plcxutd @okemen__ @manutd_world Rombak total sih dari yg disebut diatas wajib OUT apalagi Bruno captain jelek tiap lagi ketinggalan lawan Liverpool atau City pasti tantrum kek bocah wkwkwk
-1,guru agama apasih ini jelek bgt doanya
-1,Mahal jelek pula anjay
-1,Dah 3 hari ga beli beli paket soalnya ni nomor busuk bgt jelek semua paketannya
-1,Huhuhu sakit ya hybe emang babi. Sejak masuk hybe juga svt banyak dapet rumor jelek staff mesum ga didengerin! Makasih buat fandom2 lain yg ngertiin posisi svt yg kanan kiri salah padahal udah kek sapi perah. Yg nyeret svt di masalah hybe gw catet lo
-1,@triindonesia internet jelek banget sudah di restart dan gunakan Airplane 
-1,@idextratime @JLSanchez78 Sepakat. Vini jelek.
-1,gw ga sukanya nonton survival show tuh. yg bagus kalau ada ngelakuin kesalahan dikit dikomen tajem. tp yg emang jelek di maklumin malah dibilang cute kadang 
-1,sekalipun udah bisa booking tp pas payment begini pls lah sistemnya jelek bgt benerin @KAI
-1,WHAT THE FUCK?! Ini beneran ya kalo beneran JAHAT BANGET KUNING TAI JELEK
-1,@SeputarMadrid @MadridXtra Gila.... jelek banget tuh acara cuma karena Madrid gak datang. Boikot @ballondor!!!
-1,diusir gimana nih nder? clueless bgt apa janganÜ? sender yg ga ngikutin rules di desa tsb? makannya diusir saran aja banaran ga cocok buat mahasiswa yg suka anehÜ? yaaa nder jgn ampe karena habbit jelek mu yg kamu bawa malah jdi jelekÜ? in suatu daerah xixixi
-1,Jelek akhlak jelek pula mukanya
1,@V3g3L Sabar Bu. Saya dulu lulusan ITS kerja dan kena PHK saat pandemi. Alhamdulillah walau sulit cari kerja lagi. Tapi Allah buka jalan. Usaha jualan makanan. Gak jelek kok hanya kurangi gengsi. Untuk gaji ya lebih baik drpd jadi karyawan. Coba dah wirau
-1,INI LABEL KUNING TAI JELEK BISA GAK SIH DI BUBARIN SAJA?
-1,Gua yakin pasti semua artist diomongin jelek sm ni company butut orgil lu sampe 
-1,Pemain mahal beban attitude jelek 
-1,@coppamagz Bjir bahkan artis di bawah label mereka jg kena label apaan sih ini jelek bgt
-1,@fcbfemeni_idn PR dia emang jelek sih apalagi Caro bukan pemain yg aktif di sosmed
-1,SM itu udah paling bobrok. Tahunya ada yang ngalahin bobroknya. ADUH. STOP BELA AGENSI JELEK
1,baca buku lu nder
-1,@pearlsjungwon WOY KENAPA DUDUNG JELEK. jangan shamming anak gw.
-1,@manutd_world Buang-buangin tuh pemain senior taik macem Rasford Shaw Dalot Lindelof Bruno. Sama pemain era ETH yg wajib dibuang tuh Casemiro&amp; Antony. Mereka-mereka tuh pemain sampah! Gaji gede tapi perform jelek angin-anginan ngambekan. Zaman Mou &am
-1,@imyours_all I like said lu udh tua jelek 
-1,@buyungaqua @SeputarMadrid @MadridXtra Lah kalau dia emg maennya jelek terus suka protes ya jelekin dia as vini aja. Ngapain bawa ras sama warna kulit and normalisasi racism?
-1,absen list yang mau ngancurin itu gedung jelek kuning jelek najong kentut beserta orang orang busuk didalamnya
-1,@shaharaly jelek si platingannyah ?Åè
1,@Versi_Jelek @officialJKT48 Ini kayaknya terjadi di semua alun alun deh
-1,Ih jelek betul
-1,@belanjaholics Kalau pelakor/selingkuhan pasti mukanya jelek
-1,eh udh jelek bgt views anu nya
-1,\TAKDIR HP GUE JELEK MULU BANGSATTTTTT
-1,Jelek bgt sel
-1,jelek banget ajg
-1,jelek banget anjir wkwkwkwkwkwkwk
-1,ni sinyal telkomsel jelek banget dah
-1,@luculucuaaan udah jelek nyusahin lagi
1,i'd like to apologize in advance kalo sewaktu-1waktu gua misuh tapi bahasanya jelek banget disini
-1,@kemkomingfo @unesa_fess Najis jelek bgt kok pede sih foto kyk gitu? jijik bgt liatnya
-1,muka gw jelek banget anjir 
-1,cherry bomb ajg jelek bgt 
-1,@anonanomali kenapa ya rata rata muka tukang bully tuh kaya pantat? alias jelek bgt
-1,jadi ga mood buka weverse jelek bgt sialan... weverse yg tadinya txt universe warna ijo fandom colornya txt. Terus malah diganti jadi item??!?! Suram jelek. Mana cheers button yg gue suka bgt itu diganti jadi love jelek bgt. Pokoknya jelek.
-1,@tanyakanrl kaca jelek bgt anjir mblidut mblidut begitu ah
-1,@akuselektif HAH di aku kok jelek.... @triindonesia pmksd km bgusnya di beberapa daerah sj. dh lelah ak sm jaringan anomalimu
1,FAKK NIATNYA BACA BUAT BESOK TAPI INI SERU BANGET SAMPE GAK SADAR UDH JAM SEGINI KENAPA GUE GAK BACA DARI DULU SIHHHH BAGUS BGT KAK KAL KALO BIKIN AU GAK PERNAH JELEK BAGUS TERUS DEH HERAN
-1,@kaktuspessoa eh bahasalu hari ini jelek jelek ye
-1,@marrtirnez oktober jelek banget yaAllah
-1,@belanjaholics jelek banget modusnya
-1,@ssingssayaflu Setujuuu. Statement gitu tuh kesannya kalau ceweknya jelek gapapa diselingkuhin
-1,Jelek bgt suara teriakan gue
-1,BAHKAN dia juga nggak denger cerita itu dari eun onya langsung!!! buset jelek bgt karakternya eun o maap ajah
-1,@ccordonblue Jelek apa bagus overall?
-1,kasian vernon mah mau jelek aja susah. gabisa gitu. ckck. https://t.co/qgSIDGsgwm
-1,jelek iya stupid iya man pick a struggle
-1,@tenbaez @nani7294 Ya tp suatu saat kebenaran bakal ttp terungkap walopun tertunda dan ujung2nya pasti hiatus lama jg.. Jd lebih baik udh keungkap di 20
-1,LOL at this rate mau disembunyiin kayak apa juga reputasi hybe tu udah JELEK HAHAHAHAHAHHAHAHAHAHA Mending jujur dan minta maaf dan perbaiki diri trus BUBAR WKWKWKWKWK
-1,gue langsung jawab satu tapi salah katanya yang bener 9 kenapa gue jawab satu soalnya kata guru matematika gue dulu yang diitung yang ada didalam kurung dulu terus lanjut ke perkalian nah baru dibagi. pantes nilai matematika gue jelek terus ternyata dikasih cara yang salah 
-1,@itsnagon_ KL JAEHYUN JELEK CWOK LAIN AP ANJ
-1,ASLIII KENAPA SEKARANG JELEK BANGET elah
-1,tumben banget wifi me jelek bgt?
-1,Jelek bgt editan nya 
-1,Gabisa yura kata dia aku jelek apalagi kalau bengong nambah jelek.. jadi dia milih yang lebih ganteng yura https://t.co/UMSTtUL8BC
-1,senang gingsul jelek ku udh ga ada yeay https://t.co/2CW2T3TXsR
-1,@Iamclynophile_ Begitulah sifat jelek manusia
1,WANGIIIII PLISSS kalo ganteng but nasty smell bisa jelek di mata gue tp kalo visual low but he's smells like heaven 
-1,hidup SENDIRI dgn keseharian yg flat itu malah bikinka jd gampang overthinking selalu meratap selalu berpikiran jelek sllu merasa takut ditinggalkan. takut sklika sm diriku sendiri sekarang.
-1,males banget sama ini manhwa bikin nangis jelek mulu
-1,@MoreFine007 lagi nggak mood buka dm isinya jelek
-1,Buat yang udah/sering ngetik jahat itu bikin kalian kepikiran dan jadi gak bisa tidur gak? Ngerasa bersalah gitu atau takut ketikannya berbalik ke diri sendiri. Penasaran aja aku mah kok bisa enteng banget ngetik jelek begitu
